qd1,qd2,phrase1,phrase2,label
1,2,no man ever mislik it more,if everybodi wa nt burn hell to get her there jewel say in that harsh savag voic,faulkner
3,4,you,got no affect nor gentl for her,faulkner
5,6,you never had,we would be beholden to no man he say me and her,faulkner
7,8,we have never yet been and she will rest quieter for know it and that it wa her own blood saw out the board and drove the nail,she wa ever one to clean up after herself,faulkner
9,10,it mean three dollar i say,do you want us to go or not,faulkner
11,12,pa rub hi knee,well be back by tomorrow sundown,faulkner
13,14,well pa say,he look out over the land awryhair mouth the snuff slowli against hi gum,faulkner
15,16,come on jewel say,he goe down the step,faulkner
17,18,vernon spit neatli into the dust,by sundown now pa say,faulkner
19,20,i would not keep her wait,jewel glanc back then he goe on around the hous,faulkner
21,22,i enter the hall hear the voic befor i reach the door,tilt a littl down the hill as our hous doe a breez draw through the hall all the time upslant,faulkner
23,24,a feather drop near the front door will rise and brush along the ceil slant backward until it reach the downturn current at the back door so with voic,as you enter the hall they sound as though they were speak out of the air about your head,faulkner
25,26,it wa like he knew he would never see her again that ans bundren wa drive him from hi mother s death bed never to see her in thi world again,i alway said darl wa differ from those other,faulkner
27,28,i alway said he wa the onli one of them that had hi mother s natur had ani natur affect,not that jewel the one she labor so to bear and coddl and pet so and him fling into tantrum or sulk spell invent devil to devil her until i would have trail him time and time,faulkner
29,30,not him to come and tell her goodby,not him to miss a chanc to make that extra three dollar at the price of hi mother s goodby kiss,faulkner
31,32,a bundren through and through love nobodi care for noth except how to get someth with the least amount of work,mr tull say darl ask them to wait,faulkner
33,34,he said darl almost beg them on hi knee not to forc him to leav her in her condit,but noth would do but ans and jewel must make that three dollar,faulkner
35,36,nobodi that know ans could have expect differ but to think of that boy that jewel sell all those year of selfdeni and downright partial they could nt fool me mr tull say mr bundren like jewel the least of all but i knew better,i knew she wa partial to him to the same qualiti in him that let her put up with ans bundren when mr tull said she ought to poison him for three dollar deni hi die mother the goodby mss,faulkner
37,38,whi for the last three week i have been come over everi time i could come sometim when i should nt have neglect my own famili and duti so that somebodi would be with her in her last moment and she would not have to face the great unknown without one familiar face to give her courag,not that i deserv credit for it i will expect the same for myself,faulkner
39,40,but thank god it will be the face of my love kin my blood and flesh for in my husband and children i have been more bless than most trial though they have been at time,she live a lone woman lone with her pride tri to make folk believ differ hide the fact that they just suffer her becaus she wa not cold in the coffin befor they were cart her forti mile away to buri her flout the will of god to do it,faulkner
41,42,refus to let her lie in the same earth with those bundren,but she want to go mr tull said,faulkner
43,44,it wa her own wish to lie among her own peopl,then whi did nt she go aliv,faulkner
45,46,i said,not one of them would have stop her with even that littl one almost old enough now to be selfish and stoneheart like the rest of them,faulkner
47,48,it wa her own wish mr tull said,and you would believ ans of cours i said,faulkner
49,50,a man like you would dont tell me,i d believ him about someth he could nt expect to make anyth off of me by not tell mr tull said,faulkner
51,52,dont tell me i said,a woman s place is with her husband and children aliv or dead,faulkner
53,54,would you expect me to want to go back to alabama and leav you and the girl when my time come that i left of my own will to cast my lot with your for better and wors until death and after,well folk are differ he said,faulkner
55,56,i should hope so,i have tri to live right in the sight of god and man for the honor and comfort of my christian husband and the love and respect of my christian children,faulkner
57,58,so that when i lay me down in the conscious of my duti and reward i will be surround by love face carri the farewel kiss of each of my love one into my reward,not like addi bundren die alon hide her pride and her broken heart,faulkner
59,60,glad to go,like as not if they had nt decid to make that last load they would have load her into the wagon on a quilt and cross the river first and then stop and give her time to die what christian death they would let her,faulkner
61,62,except darl,it wa the sweetest thing i ever saw,faulkner
63,64,sometim i lose faith in human natur for a time i am assail by doubt,but alway the lord restor my faith and reveal to me hi bounteou love for hi creatur,faulkner
65,66,not jewel the one she had alway cherish not him,he wa after that three extra dollar,faulkner
67,68,it wa darl the one that folk say is queer lazi potter about the place no better than ans with cash a good carpent and alway more build than he can get around to and jewel alway do someth that made him some money or got him talk about and that nearnak girl alway stand over addi with a fan so that everi time a bodi tri to talk to her and cheer her up would answer for her right quick like she wa tri to keep anybodi from come near her at all,it wa darl,faulkner
69,70,he come to the door and stood there look at hi die mother,he just look at her and i felt the bounteou love of the lord again and hi merci,faulkner
71,72,i saw that with jewel she had just been pretend but that it wa between her and darl that the understand and the true love wa,he just look at her not even come in where she could see him and get upset know that ans wa drive him away and he would never see her again,faulkner
73,74,he said noth just look at her,what you want darl,faulkner
75,76,dewey dell said not stop the fan speak up quick keep even him from her,he did nt answer,faulkner
77,78,he just stood and look at hi die mother hi heart too full for word,pa dassent sweat becaus he will catch hi death from the sick so everybodi that come to help us,faulkner
79,80,and jewel dont care about anyth he is not kin to us in care not carekin,and cash like saw the long hot sad yellow day up into plank and nail them to someth,faulkner
81,82,and pa think becaus neighbor will alway treat one anoth that way becaus he ha alway been too busi let neighbor do for him to find out,we pick on down the row the wood get closer and closer and the secret shade pick on into the secret shade with my sack and lafe s sack,faulkner
83,84,becaus i said will i or wont i when the sack wa half full becaus i said if the sack is full when we get to the wood it wont be me,i said if it dont mean for me to do it the sack will not be full and i will turn up the next row but if the sack is full i can not help it,faulkner
85,86,it will be that i had to do it all the time and i can not help it,and we pick on toward the secret shade and our eye would drown togeth touch on hi hand and my hand and i did nt say anyth,faulkner
87,88,i said what are you do,and he said i am pick into your sack,faulkner
89,90,and so it wa full when we came to the end of the row and i could not help it,and so it wa becaus i could not help it,faulkner
91,92,it wa then and then i saw darl and he knew,he said he knew without the word like he told me that ma is go to die without word and i knew he knew becaus if he had said he knew with the word i would not have believ that he had been there and saw us,faulkner
93,94,but he said he did know and i said are you go to tell pa are you go to kill him,without the word i said it and he said whi,faulkner
95,96,without the word,and that s whi i can talk to him with know with hate becaus he know,faulkner
97,98,he stand in the door look at her,what you want darl,faulkner
99,100,i say,she is go to die he say,faulkner
101,102,and old turkeybuzzard tull come to watch her die but i can fool them,when is she go to die,faulkner
103,104,i say,befor we get back he say,faulkner
105,106,then whi are you take jewel,i say,faulkner
107,108,i want him to help me load he say,hi overal are fade on one knee a serg patch cut out of a pair of sunday pant wore ironslick,faulkner
109,110,no man mislik it more than me he say,a fellow s got to guess ahead now and then i say,faulkner
111,112,but come long and short it wont be no harm done neither way,she ll want to get start right off he say,faulkner
113,114,it s far enough to jefferson at best,but the road is good now i say,faulkner
115,116,it s fix to rain tonight too,hi folk buri at new hope too not three mile away,faulkner
117,118,but it s just like him to marri a woman born a day s hard ride away and have her die on him,he look out over the land rub hi knee,faulkner
119,120,no man so mislik it he say,they ll get back in plenti of time i say,faulkner
121,122,i would nt worri none,it mean three dollar he say,faulkner
123,124,might be it wont be no need for them to rush back noway i say,i hope it,faulkner
125,126,she s ago he say,her mind is set on it,faulkner
127,128,it s a hard me on women for a fact,some women,faulkner
129,130,i mind my mammi live to be seventi and more,work everi day rain or shine never a sick day sinc her last chap wa born until one day she kind of look around her and then she went and taken that lacetrim night gown she had had fortyf year and never wore out of the chest and put it on and laid down on the bed and pull the cover up and shut her eye,faulkner
131,132,you all will have to look out for pa the best you can she said,i m tire,faulkner
133,134,ans rub hi hand on hi knee,the lord giveth he say,faulkner
135,136,we can hear cash ahamm and saw beyond the corner,it s true,faulkner
137,138,never a truer breath wa ever breath,the lord giveth i say,faulkner
139,140,that boy come up the hill,he is carri a fish nigh long as he is,faulkner
141,142,he sling it to the ground and grunt hah and spit over hi shoulder like a man,durn nigh long as he is,faulkner
143,144,what s that,i say,faulkner
145,146,a hog,where d you get it,faulkner
147,148,down to the bridg he say,he turn it over the under side cake over with dust where it is wet the eye coat over hump under the dirt,faulkner
149,150,are you aim to leav it lay there,ans say,faulkner
151,152,i aim to show it to ma vardaman say,he look toward the door,faulkner
153,154,we can hear the talk come out on the draft,cash too knock and hammer at the board,faulkner
155,156,there s compani in there he say,just my folk i say,faulkner
157,158,they d enjoy to see it too,he say noth watch the door,faulkner
159,160,then he look down at the fish lay in the dust,he turn it over with hi foot and prod at the eyebump with hi toe goug at it,faulkner
161,162,ans is look out over the land,vardaman look at ans s face then at the door,faulkner
163,164,he turn go toward the corner of the hous when ans call him without look around,you clean that fish ans say,faulkner
165,166,vardaman stop,whi cant dewey dell clean it,faulkner
167,168,he say,you clean that fish ans say,faulkner
169,170,aw pa vardaman say,you clean it ans say,faulkner
171,172,he dont look around,vardaman come back and pick up the fish,faulkner
173,174,it slide out of hi hand smear wet dirt onto him and flop down dirti itself again gapmouth goggleey hide into the dust like it wa asham of be dead like it wa in a hurri to get back hid again,vardaman cuss it,faulkner
175,176,he cuss it like a grown man stand astraddl of it,ans dont look around,faulkner
177,178,vardaman pick it up again,he goe on around the hous tote it in both arm like a arm of wood it overlap him on both end head and tail,faulkner
179,180,durn nigh big as he is,ans s wrist dangl out of hi sleev i never see him with a shirt on that look like it wa hi in all my life,faulkner
181,182,they all look like jewel might have give him hi old one,not jewel though,faulkner
183,184,he s longarm even if he is spindl,except for the lack of sweat,faulkner
185,186,you could tell they aint been nobodi els s but ans s that way without no mistak,hi eye look like piec of bumtout cinder fix in hi face look out over the land,faulkner
187,188,when the shadow touch the step he say if five oclock,just as i get up cora come to the door and say it s time to get on,faulkner
189,190,ans reach for hi shoe,now mr bundren cora say dont you get up now,faulkner
191,192,he put hi shoe on stomp into them like he doe everyth like he is hope all the time he realli cant do it and can quit tri to,when we go up the hall we can hear them clump on the floor like they wa iron shoe,faulkner
