qd1,qd2,phrase1,phrase2,label
1,2,through the fence between the curling flower spaces i could see them hitting,they were coming toward where the flag was and i went along the fence,faulkner
3,4,luster was hunting in the grass by the flower tree,they took the flag out and they were hitting,faulkner
5,6,then they put the flag back and they went to the table and he hit and the other hit,then they went on and i went along the fence,faulkner
7,8,luster came away from the flower tree and we went along the fence and they stopped and we stopped and i looked through the fence while luster was hunting in the grass,here caddie,faulkner
9,10,he hit,they went away across the pasture,faulkner
11,12,i held to the fence and watched them going away,listen at you now,faulkner
13,14,luster said,aint you something thirty three years old going on that way,faulkner
15,16,after i done went all the way to town to buy you that cake,hush up that moaning,faulkner
17,18,aint you going to help me find that quarter so i can go to the show tonight,they were hitting little across the pasture,faulkner
19,20,i went back along the fence to where the flag was,it flapped on the bright grass and the trees,faulkner
21,22,come on,luster said,faulkner
23,24,we done looked there,they aint no more coming right now,faulkner
25,26,les go down to the branch and find that quarter before them niggers finds it,it was red flapping on the pasture,faulkner
27,28,then there was a bird slanting and tilting on it,luster threw,faulkner
29,30,the flag flapped on the bright grass and the trees,i held to the fence,faulkner
31,32,shut up that moaning,luster said,faulkner
33,34,i cant make them come if they aint coming can i,if you dont hush up mammy aint going to have no birthday for you,faulkner
35,36,if you dont hush you know what i going to do,i going to eat that cake all up,faulkner
37,38,eat them candles too,eat all them thirty three candles,faulkner
39,40,come on les go down to the branch,i got to find my quarter,faulkner
41,42,maybe we can find one of they balls,here,faulkner
43,44,here they is,way over yonder,faulkner
45,46,see,he came to the fence and pointed his arm,faulkner
47,48,see them,they aint coming back here no more,faulkner
49,50,come on,we went along the fence and came to the garden fence where our shadows were,faulkner
51,52,my shadow was higher than luster is on the fence,we came to the hroken place and went through it,faulkner
53,54,wait a minute,luster said,faulkner
55,56,you snagged on that nail again,cant you never crawl through here without snagging on that nail,faulkner
57,58,caddy uncaught me and we crawled through,uncle maury said to not let anybody see us so we better stoop over caddy said,faulkner
59,60,stoop over benjy,like this see,faulkner
61,62,we stooped over and crossed the garden where the flowers rasped and rattled against us,the ground was hard,faulkner
63,64,we climbed the fence where the pigs were grunting and snuffing,i expect they are sorry because one of them got killed today caddy said,faulkner
65,66,the ground was hard churned and knotted,keep your hands in your pockets caddy said,faulkner
67,68,or they will get froze,you dont want your hands froze on christmas do you,faulkner
