date,round,max_seq_length,accuracy,val_accuracy,loss,val_loss
18/08/2021 04:14:26,1,17,"[0.49793651700019836, 0.4982936382293701, 0.5195634961128235, 0.5463492274284363, 0.5535317659378052, 0.5552380681037903, 0.5584920644760132, 0.557103157043457, 0.5587301850318909, 0.5597222447395325, 0.5607936382293701, 0.560436487197876, 0.5616269707679749, 0.5598809719085693, 0.5654364824295044, 0.5600396990776062, 0.5631349086761475, 0.5629364848136902, 0.5642460584640503, 0.5621825456619263]","[0.5048148036003113, 0.5193518400192261, 0.5549073815345764, 0.5630555748939514, 0.5652777552604675, 0.5692592859268188, 0.5751851797103882, 0.5767592787742615, 0.5759259462356567, 0.5787037014961243, 0.5788888931274414, 0.580740749835968, 0.5814814567565918, 0.5809259414672852, 0.5824074149131775, 0.5843518376350403, 0.5856481194496155, 0.5848147869110107, 0.5845370292663574, 0.5862963199615479]","[0.44617730379104614, 0.3920762836933136, 0.32844603061676025, 0.314627081155777, 0.31277379393577576, 0.3110613524913788, 0.3103678524494171, 0.3093937039375305, 0.3090795576572418, 0.3073395788669586, 0.3084045946598053, 0.3077380061149597, 0.3070278763771057, 0.3065102696418762, 0.30581003427505493, 0.30626702308654785, 0.30553916096687317, 0.30386680364608765, 0.3045797646045685, 0.303754985332489]","[0.41663116216659546, 0.3345743417739868, 0.32471275329589844, 0.32455942034721375, 0.32194089889526367, 0.32044097781181335, 0.31921133399009705, 0.3181621730327606, 0.3177774250507355, 0.31800875067710876, 0.3171059191226959, 0.3174731135368347, 0.3162563741207123, 0.3159167170524597, 0.31493106484413147, 0.3147929012775421, 0.3143560290336609, 0.3135651648044586, 0.31366685032844543, 0.31342607736587524]"
18/08/2021 04:14:26,2,17,"[0.4988095164299011, 0.4988095164299011, 0.5125396847724915, 0.5393650531768799, 0.5465079545974731, 0.5553571581840515, 0.5559126734733582, 0.5566666722297668, 0.556587278842926, 0.5577777624130249, 0.5566666722297668, 0.560952365398407, 0.5592063665390015, 0.560952365398407, 0.5612698197364807, 0.5594841241836548, 0.5613889098167419, 0.5666269659996033, 0.5638095140457153, 0.5636507868766785]","[0.5027777552604675, 0.5148147940635681, 0.5450000166893005, 0.5581481456756592, 0.5630555748939514, 0.5675926208496094, 0.5697222352027893, 0.5717592835426331, 0.5741666555404663, 0.5747222304344177, 0.5758333206176758, 0.5760185122489929, 0.5770370364189148, 0.5796296000480652, 0.5809259414672852, 0.5809259414672852, 0.5826851725578308, 0.5818518400192261, 0.5812963247299194, 0.5846296548843384]","[0.4482136368751526, 0.39835360646247864, 0.3347420394420624, 0.31466636061668396, 0.31301063299179077, 0.31064918637275696, 0.3101210296154022, 0.30870532989501953, 0.3073311150074005, 0.30905985832214355, 0.3069487512111664, 0.30608126521110535, 0.3061318099498749, 0.30733829736709595, 0.30619460344314575, 0.30676954984664917, 0.306095153093338, 0.30429235100746155, 0.30430176854133606, 0.30411604046821594]","[0.42384520173072815, 0.3380899429321289, 0.32937127351760864, 0.3285731375217438, 0.3256092369556427, 0.323147714138031, 0.32133379578590393, 0.3202303349971771, 0.3210495412349701, 0.3200456202030182, 0.3194628357887268, 0.3183189034461975, 0.3189930319786072, 0.3179999589920044, 0.3178257942199707, 0.3172730505466461, 0.31726691126823425, 0.31668657064437866, 0.3160759210586548, 0.31573623418807983]"
18/08/2021 04:14:26,3,17,"[0.4988095164299011, 0.5004761815071106, 0.5355555415153503, 0.5476587414741516, 0.5529761910438538, 0.555476188659668, 0.5563095211982727, 0.5559126734733582, 0.5565476417541504, 0.560952365398407, 0.5613889098167419, 0.5648015737533569, 0.5638095140457153, 0.5581746101379395, 0.5609920620918274, 0.5609920620918274, 0.5652381181716919, 0.5605555772781372, 0.5622618794441223, 0.5623412728309631]","[0.5027777552604675, 0.5383333563804626, 0.5692592859268188, 0.5716666579246521, 0.5753703713417053, 0.5753703713417053, 0.5778703689575195, 0.5794444680213928, 0.5812036991119385, 0.5808333158493042, 0.5817592740058899, 0.5801851749420166, 0.5812963247299194, 0.5838888883590698, 0.5809259414672852, 0.579537034034729, 0.5798147916793823, 0.5802778005599976, 0.5794444680213928, 0.5811111330986023]","[0.4422397315502167, 0.37364739179611206, 0.3155458867549896, 0.31091466546058655, 0.3100643455982208, 0.3091244101524353, 0.3066082000732422, 0.30729928612709045, 0.3078586161136627, 0.3069787621498108, 0.30560413002967834, 0.3053542375564575, 0.3051913380622864, 0.3070528209209442, 0.3056124150753021, 0.30496838688850403, 0.30320367217063904, 0.30414170026779175, 0.30334410071372986, 0.30444642901420593]","[0.4028182029724121, 0.3207617402076721, 0.32397323846817017, 0.3248741328716278, 0.3252652883529663, 0.3254997730255127, 0.32555150985717773, 0.32322537899017334, 0.3241775631904602, 0.3223855495452881, 0.3222317099571228, 0.32069429755210876, 0.3204091489315033, 0.32043832540512085, 0.31850606203079224, 0.3186514973640442, 0.31757503747940063, 0.31763768196105957, 0.3159313201904297, 0.3162384331226349]"
18/08/2021 04:14:26,4,17,"[0.4988095164299011, 0.49944445490837097, 0.5179761648178101, 0.542301595211029, 0.5445634722709656, 0.5499206185340881, 0.5555158853530884, 0.5542460083961487, 0.5602777600288391, 0.5542460083961487, 0.5605555772781372, 0.5606746077537537, 0.5629364848136902, 0.5602381229400635, 0.5625396966934204, 0.5638889074325562, 0.5615476369857788, 0.5635714530944824, 0.5627777576446533, 0.5608333349227905]","[0.5027777552604675, 0.5199999809265137, 0.5417592525482178, 0.5488888621330261, 0.5557407140731812, 0.5623148083686829, 0.5666666626930237, 0.5695370435714722, 0.5697222352027893, 0.5712037086486816, 0.5747222304344177, 0.5754629373550415, 0.5761111378669739, 0.5752778053283691, 0.5785185098648071, 0.5803703665733337, 0.5816666483879089, 0.5812036991119385, 0.5833333134651184, 0.585185170173645]","[0.44145292043685913, 0.3806612193584442, 0.327901154756546, 0.3158550262451172, 0.31493502855300903, 0.3133927881717682, 0.31047484278678894, 0.31105491518974304, 0.30945518612861633, 0.31066304445266724, 0.3080068826675415, 0.3081311285495758, 0.30652931332588196, 0.30759069323539734, 0.3058633804321289, 0.3059285283088684, 0.3066444396972656, 0.30537936091423035, 0.3052126467227936, 0.3049594461917877]","[0.39917904138565063, 0.33087846636772156, 0.3310396075248718, 0.32988640666007996, 0.32722601294517517, 0.32508161664009094, 0.32341399788856506, 0.3216855823993683, 0.3198995590209961, 0.3186124563217163, 0.3179880678653717, 0.318184494972229, 0.3175060451030731, 0.31737416982650757, 0.31729742884635925, 0.31667858362197876, 0.3162394165992737, 0.31528469920158386, 0.3141396641731262, 0.31384801864624023]"
18/08/2021 04:14:26,5,17,"[0.4988095164299011, 0.5037301778793335, 0.5430158972740173, 0.5512698292732239, 0.5556746125221252, 0.5561110973358154, 0.5599603056907654, 0.5566666722297668, 0.5579761862754822, 0.5573412775993347, 0.5589682459831238, 0.5576984286308289, 0.5585317611694336, 0.5603174567222595, 0.5628571510314941, 0.5646825432777405, 0.5648015737533569, 0.5626190304756165, 0.5624603033065796, 0.5632143020629883]","[0.5028703808784485, 0.5479629635810852, 0.5628703832626343, 0.5668518543243408, 0.5699999928474426, 0.5728703737258911, 0.5696296095848083, 0.5729629397392273, 0.5724074244499207, 0.572685182094574, 0.5749074220657349, 0.5762962698936462, 0.5759259462356567, 0.5787037014961243, 0.5803703665733337, 0.5826851725578308, 0.5825926065444946, 0.5833333134651184, 0.5833333134651184, 0.5848147869110107]","[0.4359198808670044, 0.35398417711257935, 0.3131687343120575, 0.3129643499851227, 0.3101594150066376, 0.31078261137008667, 0.3090067207813263, 0.3079860508441925, 0.3071230351924896, 0.30807381868362427, 0.30719441175460815, 0.3072842061519623, 0.30635011196136475, 0.30585572123527527, 0.30488941073417664, 0.30412033200263977, 0.30383408069610596, 0.3044128119945526, 0.3033945560455322, 0.30345797538757324]","[0.3702116906642914, 0.3278012275695801, 0.32655763626098633, 0.32564979791641235, 0.3249043822288513, 0.3245786726474762, 0.3235069811344147, 0.32374557852745056, 0.3232421875, 0.3231648802757263, 0.32288268208503723, 0.3222754895687103, 0.3218274414539337, 0.32146087288856506, 0.31977158784866333, 0.31912732124328613, 0.31786197423934937, 0.3166815936565399, 0.31603261828422546, 0.31550103425979614]"
18/08/2021 04:14:26,6,17,"[0.4988095164299011, 0.49916666746139526, 0.5209127068519592, 0.5451984405517578, 0.5526984333992004, 0.5548412799835205, 0.5579761862754822, 0.5590872764587402, 0.5579761862754822, 0.55865079164505, 0.5572222471237183, 0.5594444274902344, 0.5619444251060486, 0.5618650913238525, 0.5615079402923584, 0.5654364824295044, 0.5653174519538879, 0.5659523606300354, 0.5653174519538879, 0.5662301778793335]","[0.5027777552604675, 0.518240749835968, 0.5561110973358154, 0.5663889050483704, 0.5706481337547302, 0.5731481313705444, 0.5752778053283691, 0.5766666531562805, 0.5781481266021729, 0.5773147940635681, 0.5786111354827881, 0.5796296000480652, 0.5811111330986023, 0.5799999833106995, 0.5812036991119385, 0.5829629898071289, 0.5837036967277527, 0.5837963223457336, 0.5856481194496155, 0.5862036943435669]","[0.44365230202674866, 0.3838748633861542, 0.3248520493507385, 0.31208428740501404, 0.31048068404197693, 0.3093363344669342, 0.30821913480758667, 0.3086042106151581, 0.3085586130619049, 0.3067639470100403, 0.3066401183605194, 0.306008905172348, 0.3058968782424927, 0.30494967103004456, 0.30494943261146545, 0.3049170970916748, 0.30448633432388306, 0.30348852276802063, 0.30385562777519226, 0.30387434363365173]","[0.4022391438484192, 0.3366318345069885, 0.32187286019325256, 0.3234487771987915, 0.3220003545284271, 0.3218225836753845, 0.3207222819328308, 0.32189738750457764, 0.3226524889469147, 0.32167133688926697, 0.31995174288749695, 0.32055237889289856, 0.3202679753303528, 0.31850582361221313, 0.31812024116516113, 0.317900151014328, 0.3167993426322937, 0.3163013756275177, 0.3154921531677246, 0.3149888217449188]"
18/08/2021 04:14:26,7,17,"[0.4988095164299011, 0.4998015761375427, 0.5294841527938843, 0.5506349205970764, 0.5545634627342224, 0.5552380681037903, 0.5550397038459778, 0.558134913444519, 0.5598412752151489, 0.5594841241836548, 0.5596825480461121, 0.554960310459137, 0.5617856979370117, 0.5606746077537537, 0.5621825456619263, 0.563531756401062, 0.5615476369857788, 0.5663095116615295, 0.5644444227218628, 0.5635714530944824]","[0.5027777552604675, 0.5338888764381409, 0.5611110925674438, 0.5672222375869751, 0.5699999928474426, 0.5731481313705444, 0.5759259462356567, 0.5773147940635681, 0.573796272277832, 0.5751851797103882, 0.577129602432251, 0.5779629349708557, 0.5787962675094604, 0.5802778005599976, 0.5794444680213928, 0.5814814567565918, 0.5824074149131775, 0.5837963223457336, 0.5836111307144165, 0.5826851725578308]","[0.4492317736148834, 0.38466161489486694, 0.318817138671875, 0.3128521144390106, 0.31244662404060364, 0.3104289770126343, 0.3103531301021576, 0.3102557361125946, 0.3086046278476715, 0.3077359199523926, 0.30884677171707153, 0.3074883818626404, 0.3061751425266266, 0.30747875571250916, 0.3056943416595459, 0.3063582479953766, 0.3052174746990204, 0.30386418104171753, 0.304643839597702, 0.3044266998767853]","[0.4144810736179352, 0.32202789187431335, 0.32321110367774963, 0.32247257232666016, 0.32078808546066284, 0.3198023736476898, 0.31946542859077454, 0.3192330598831177, 0.31831657886505127, 0.3182428777217865, 0.31785041093826294, 0.3185728192329407, 0.3182303309440613, 0.31830722093582153, 0.3175782859325409, 0.31756192445755005, 0.3176615536212921, 0.31713759899139404, 0.3169059157371521, 0.31581658124923706]"
18/08/2021 04:14:26,8,17,"[0.4988095164299011, 0.4992063343524933, 0.5205555558204651, 0.5447221994400024, 0.5508333444595337, 0.5548015832901001, 0.5521031618118286, 0.5542857050895691, 0.5602381229400635, 0.5598412752151489, 0.5585317611694336, 0.5584523677825928, 0.5604761838912964, 0.563095211982727, 0.560952365398407, 0.5606349110603333, 0.5612698197364807, 0.5631349086761475, 0.5632936358451843, 0.5611904859542847]","[0.5026851892471313, 0.5140740871429443, 0.5517592430114746, 0.5615741014480591, 0.5654629468917847, 0.5689814686775208, 0.5733333230018616, 0.5754629373550415, 0.5774074196815491, 0.5774999856948853, 0.5781481266021729, 0.5798147916793823, 0.5827777981758118, 0.5812963247299194, 0.5809259414672852, 0.5816666483879089, 0.5814814567565918, 0.5831481218338013, 0.5831481218338013, 0.5844444632530212]","[0.4392894208431244, 0.3802258372306824, 0.3231143355369568, 0.313465416431427, 0.3107079863548279, 0.3107145130634308, 0.3088436722755432, 0.3083266317844391, 0.30653896927833557, 0.30655696988105774, 0.3064582645893097, 0.30625683069229126, 0.3061041235923767, 0.30582696199417114, 0.30480924248695374, 0.30565550923347473, 0.304776132106781, 0.3042410910129547, 0.30484527349472046, 0.30392640829086304]","[0.3897714614868164, 0.33424830436706543, 0.325949490070343, 0.3289591073989868, 0.3282303214073181, 0.3267720639705658, 0.32438603043556213, 0.3269367218017578, 0.32601645588874817, 0.32316291332244873, 0.3228659927845001, 0.3214474022388458, 0.321966290473938, 0.31890493631362915, 0.3181374967098236, 0.31809544563293457, 0.31857621669769287, 0.31748923659324646, 0.31578031182289124, 0.3159463703632355]"
18/08/2021 04:14:26,9,17,"[0.4988095164299011, 0.49888888001441956, 0.5234920382499695, 0.5486904978752136, 0.5536507964134216, 0.5593253970146179, 0.5562698245048523, 0.5603968501091003, 0.5586110949516296, 0.5589285492897034, 0.5615079402923584, 0.5572618842124939, 0.5600396990776062, 0.561904788017273, 0.5628174543380737, 0.5624603033065796, 0.5603174567222595, 0.5617856979370117, 0.5642856955528259, 0.5626587271690369]","[0.5027777552604675, 0.5242592692375183, 0.5550000071525574, 0.5656481385231018, 0.565833330154419, 0.5688889026641846, 0.5727777481079102, 0.5729629397392273, 0.5756481289863586, 0.575092613697052, 0.5753703713417053, 0.5768518447875977, 0.5796296000480652, 0.5809259414672852, 0.5834259390830994, 0.5823147892951965, 0.5823147892951965, 0.584074079990387, 0.5834259390830994, 0.5818518400192261]","[0.44936493039131165, 0.3866446018218994, 0.32346752285957336, 0.3131221830844879, 0.31155937910079956, 0.3084113895893097, 0.3104374408721924, 0.3085218071937561, 0.3084419071674347, 0.3086920380592346, 0.30590757727622986, 0.30742010474205017, 0.30660372972488403, 0.3052286207675934, 0.30565324425697327, 0.30557310581207275, 0.3052871823310852, 0.30424004793167114, 0.3042108416557312, 0.304004043340683]","[0.4067121148109436, 0.3288075625896454, 0.32806074619293213, 0.3263508975505829, 0.32332953810691833, 0.3221244215965271, 0.32222557067871094, 0.32189542055130005, 0.3212685286998749, 0.32045745849609375, 0.31957533955574036, 0.319074809551239, 0.3183521628379822, 0.31923288106918335, 0.31710487604141235, 0.31689682602882385, 0.3157181739807129, 0.3157050311565399, 0.31495606899261475, 0.31371745467185974]"
18/08/2021 04:14:26,10,17,"[0.4988095164299011, 0.5009127259254456, 0.5323412418365479, 0.5458729863166809, 0.5527777671813965, 0.5529364943504333, 0.5538889169692993, 0.5588095188140869, 0.5603174567222595, 0.5596031546592712, 0.5551984310150146, 0.5567460060119629, 0.5596825480461121, 0.5617460608482361, 0.5573809742927551, 0.5610714554786682, 0.5632143020629883, 0.5628968477249146, 0.5628968477249146, 0.5607936382293701]","[0.5027777552604675, 0.5427777767181396, 0.5615741014480591, 0.5679629445075989, 0.5675926208496094, 0.5696296095848083, 0.571481466293335, 0.5724999904632568, 0.5749074220657349, 0.5754629373550415, 0.5772222280502319, 0.5754629373550415, 0.5778703689575195, 0.5762037038803101, 0.5763888955116272, 0.5778703689575195, 0.57833331823349, 0.5787037014961243, 0.5812036991119385, 0.5814814567565918]","[0.4430469572544098, 0.36875131726264954, 0.316771924495697, 0.3128243088722229, 0.3104059398174286, 0.31101152300834656, 0.31038081645965576, 0.30880916118621826, 0.30815979838371277, 0.3079260587692261, 0.30805879831314087, 0.3068976104259491, 0.30679240822792053, 0.30517762899398804, 0.30728742480278015, 0.30599266290664673, 0.3050104081630707, 0.3049575388431549, 0.30437833070755005, 0.3052239716053009]","[0.3855202794075012, 0.32988590002059937, 0.3293042778968811, 0.32813650369644165, 0.325739324092865, 0.32413434982299805, 0.32412779331207275, 0.3232904374599457, 0.3227978050708771, 0.32204264402389526, 0.3219514489173889, 0.3210231065750122, 0.3221891224384308, 0.32079970836639404, 0.32019805908203125, 0.3197832703590393, 0.3190692663192749, 0.31797775626182556, 0.31842467188835144, 0.31786155700683594]"
