date,round,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
25/08/2021 03:19:06,1,25/08/2021 03:20:24,25/08/2021 03:22:56,5,"[0.501547634601593, 0.5016666650772095, 0.5012301802635193, 0.5031349062919617, 0.5109127163887024, 0.5144444704055786, 0.5162301659584045, 0.5186111330986023, 0.5191270112991333, 0.5188094973564148, 0.5192063450813293, 0.5232142806053162, 0.5174206495285034, 0.5259523987770081, 0.5236111283302307, 0.5263888835906982, 0.5296031832695007, 0.5299603343009949, 0.5240079164505005, 0.528253972530365]","[0.49638888239860535, 0.49759259819984436, 0.5000925660133362, 0.5152778029441833, 0.523888885974884, 0.5263888835906982, 0.5303703546524048, 0.5308333039283752, 0.5314815044403076, 0.5330555438995361, 0.5335184931755066, 0.5356481671333313, 0.535277783870697, 0.5366666913032532, 0.5381481647491455, 0.5400000214576721, 0.5415740609169006, 0.5433333516120911, 0.5433333516120911, 0.5411111116409302]","[0.4442148506641388, 0.4020087718963623, 0.36347606778144836, 0.3363663852214813, 0.3259020149707794, 0.32261568307876587, 0.3195473551750183, 0.3180924355983734, 0.31927868723869324, 0.31753382086753845, 0.31600701808929443, 0.3149612247943878, 0.31843703985214233, 0.31570276618003845, 0.317186176776886, 0.31496044993400574, 0.31430864334106445, 0.31444185972213745, 0.31631454825401306, 0.3146733045578003]","[0.4231266379356384, 0.367800772190094, 0.33315983414649963, 0.3195861577987671, 0.31719109416007996, 0.3169786036014557, 0.31804701685905457, 0.3187403380870819, 0.31961140036582947, 0.3190489411354065, 0.318958580493927, 0.31823691725730896, 0.3184126615524292, 0.3184742033481598, 0.31849807500839233, 0.31751975417137146, 0.3177545964717865, 0.3173505663871765, 0.3179715573787689, 0.3185451030731201]"
25/08/2021 03:19:06,2,25/08/2021 03:22:57,25/08/2021 03:25:30,5,"[0.4988095164299011, 0.49884921312332153, 0.4990476071834564, 0.4988095164299011, 0.5019841194152832, 0.5047222375869751, 0.5031349062919617, 0.5065476298332214, 0.507777750492096, 0.5135317444801331, 0.5140873193740845, 0.5090476274490356, 0.5111111402511597, 0.5112698674201965, 0.5153571367263794, 0.5175793766975403, 0.516785740852356, 0.5182142853736877, 0.5175793766975403, 0.5159920454025269]","[0.5027777552604675, 0.5034258961677551, 0.5072222352027893, 0.508055567741394, 0.5092592835426331, 0.5141666531562805, 0.5178703665733337, 0.5187036991119385, 0.5204629898071289, 0.5223147869110107, 0.5223147869110107, 0.525092601776123, 0.5251851677894592, 0.525092601776123, 0.528425931930542, 0.5255555510520935, 0.5299074053764343, 0.5298148393630981, 0.5287963151931763, 0.5297222137451172]","[0.447862833738327, 0.40722423791885376, 0.37096795439720154, 0.34469589591026306, 0.33272507786750793, 0.3270765542984009, 0.3258834481239319, 0.3215695321559906, 0.3219452500343323, 0.32134801149368286, 0.32012268900871277, 0.3221908211708069, 0.3232051432132721, 0.32126322388648987, 0.3197261095046997, 0.3207039535045624, 0.3182193338871002, 0.31713005900382996, 0.31848010420799255, 0.3202105760574341]","[0.420457661151886, 0.37034064531326294, 0.34752073884010315, 0.3294287621974945, 0.3196779191493988, 0.31682801246643066, 0.3160276412963867, 0.3149963915348053, 0.3155100345611572, 0.3152085244655609, 0.31660833954811096, 0.3154846429824829, 0.3164796829223633, 0.3161366879940033, 0.31649190187454224, 0.31708911061286926, 0.3170122802257538, 0.3174942135810852, 0.31741273403167725, 0.3173760175704956]"
25/08/2021 03:19:06,3,25/08/2021 03:25:30,25/08/2021 03:28:17,5,"[0.4988095164299011, 0.4988095164299011, 0.4988095164299011, 0.5003968477249146, 0.501031756401062, 0.5065873265266418, 0.50599205493927, 0.5094444155693054, 0.5105952620506287, 0.5103968381881714, 0.5114285945892334, 0.5103968381881714, 0.5106745958328247, 0.5120635032653809, 0.5143253803253174, 0.5144444704055786, 0.518928587436676, 0.5184920430183411, 0.5201587080955505, 0.5216270089149475]","[0.5027777552604675, 0.5026851892471313, 0.505740761756897, 0.505648136138916, 0.5061110854148865, 0.508981466293335, 0.511388897895813, 0.511388897895813, 0.5102777481079102, 0.5111111402511597, 0.5111111402511597, 0.5118518471717834, 0.5126851797103882, 0.5118518471717834, 0.5127778053283691, 0.5149074196815491, 0.5164814591407776, 0.5173147916793823, 0.5180555582046509, 0.5198147892951965]","[0.44971928000450134, 0.41043055057525635, 0.37270882725715637, 0.34661388397216797, 0.33528590202331543, 0.32832449674606323, 0.32616913318634033, 0.3221188187599182, 0.3206178843975067, 0.32207390666007996, 0.320677787065506, 0.32292962074279785, 0.32274129986763, 0.32130905985832214, 0.320914089679718, 0.321012943983078, 0.3174915313720703, 0.31948721408843994, 0.31795236468315125, 0.31712713837623596]","[0.4286251664161682, 0.37563639879226685, 0.3483167290687561, 0.3362530469894409, 0.33103060722351074, 0.3300152122974396, 0.32980698347091675, 0.3306182026863098, 0.33111879229545593, 0.3319930136203766, 0.3316226899623871, 0.331055611371994, 0.33131545782089233, 0.33044329285621643, 0.32940229773521423, 0.32833975553512573, 0.3279605507850647, 0.32584017515182495, 0.32529959082603455, 0.3238765001296997]"
25/08/2021 03:19:06,4,25/08/2021 03:28:18,25/08/2021 03:30:50,5,"[0.4988095164299011, 0.4987698495388031, 0.49964284896850586, 0.5028968453407288, 0.5127778053283691, 0.5140079259872437, 0.5182142853736877, 0.5195634961128235, 0.524404764175415, 0.5237698554992676, 0.5197619199752808, 0.5221031904220581, 0.5257142782211304, 0.5249603390693665, 0.5255555510520935, 0.5262698531150818, 0.5262301564216614, 0.532619059085846, 0.5284920930862427, 0.5317063331604004]","[0.5027777552604675, 0.5028703808784485, 0.505740761756897, 0.5193518400192261, 0.5314815044403076, 0.5310184955596924, 0.5325000286102295, 0.5355555415153503, 0.5371296405792236, 0.5360184907913208, 0.5393518805503845, 0.5391666889190674, 0.5405555367469788, 0.5414814949035645, 0.5402777791023254, 0.5401852130889893, 0.5393518805503845, 0.5408333539962769, 0.5412963032722473, 0.5413888692855835]","[0.4462049603462219, 0.40317368507385254, 0.36036112904548645, 0.33697226643562317, 0.32433995604515076, 0.32351183891296387, 0.3195139169692993, 0.32062843441963196, 0.3170165717601776, 0.3178409934043884, 0.31790271401405334, 0.31713178753852844, 0.31376078724861145, 0.31659388542175293, 0.31735122203826904, 0.31479328870773315, 0.316422700881958, 0.31417036056518555, 0.3167361915111542, 0.3141753375530243]","[0.4182788133621216, 0.35856035351753235, 0.32673200964927673, 0.3167947828769684, 0.31540775299072266, 0.31655675172805786, 0.31754815578460693, 0.3185983896255493, 0.31891629099845886, 0.32061198353767395, 0.31976282596588135, 0.32033196091651917, 0.32066741585731506, 0.32019561529159546, 0.3203449547290802, 0.32065901160240173, 0.3204175531864166, 0.32008954882621765, 0.3199867904186249, 0.31978029012680054]"
25/08/2021 03:19:06,5,25/08/2021 03:30:50,25/08/2021 03:33:20,5,"[0.4988095164299011, 0.49892857670783997, 0.5007539391517639, 0.5115079283714294, 0.5153968334197998, 0.521309494972229, 0.5252777934074402, 0.5261111259460449, 0.5271825194358826, 0.5292063355445862, 0.5326587557792664, 0.5284523963928223, 0.5313491821289062, 0.5312301516532898, 0.5376587510108948, 0.5358333587646484, 0.5336111187934875, 0.5350793600082397, 0.5415475964546204, 0.5378571152687073]","[0.5027777552604675, 0.504444420337677, 0.5219444632530212, 0.5343518257141113, 0.5407407283782959, 0.5407407283782959, 0.542129635810852, 0.545462965965271, 0.5455555319786072, 0.5475925803184509, 0.5461111068725586, 0.5481481552124023, 0.5469444394111633, 0.5490740537643433, 0.5507407188415527, 0.5508333444595337, 0.5508333444595337, 0.5525925755500793, 0.5527777671813965, 0.5518518686294556]","[0.4420352280139923, 0.39137595891952515, 0.3510419726371765, 0.33013346791267395, 0.3220972716808319, 0.3182341456413269, 0.3154798448085785, 0.3157544434070587, 0.3155845105648041, 0.3139258623123169, 0.31410303711891174, 0.31465545296669006, 0.31286317110061646, 0.31445011496543884, 0.3101099133491516, 0.31046995520591736, 0.31269481778144836, 0.31334057450294495, 0.3102297782897949, 0.31118911504745483]","[0.40607887506484985, 0.348050057888031, 0.32058069109916687, 0.313535213470459, 0.31239408254623413, 0.3127322196960449, 0.31327879428863525, 0.3135784864425659, 0.31385329365730286, 0.31411999464035034, 0.3147278428077698, 0.31448042392730713, 0.3147106170654297, 0.3144906163215637, 0.31453412771224976, 0.31452733278274536, 0.31437230110168457, 0.31432804465293884, 0.31411346793174744, 0.31419068574905396]"
25/08/2021 03:19:06,6,25/08/2021 03:33:21,25/08/2021 03:35:53,5,"[0.4988095164299011, 0.4988095164299011, 0.4988095164299011, 0.49932539463043213, 0.5013095140457153, 0.5015079379081726, 0.5042063593864441, 0.5044047832489014, 0.5071825385093689, 0.50599205493927, 0.5095238089561462, 0.5100396871566772, 0.5123809576034546, 0.5115079283714294, 0.5113095045089722, 0.5103968381881714, 0.5167063474655151, 0.5164285898208618, 0.5140476226806641, 0.5159920454025269]","[0.5027777552604675, 0.5024999976158142, 0.5049074292182922, 0.5083333253860474, 0.5088889002799988, 0.511388897895813, 0.5143518447875977, 0.5150926113128662, 0.5164814591407776, 0.5177778005599976, 0.5187036991119385, 0.5192592740058899, 0.5212963223457336, 0.5233333110809326, 0.5220370292663574, 0.5216666460037231, 0.5234259366989136, 0.5231481194496155, 0.522685170173645, 0.5252777934074402]","[0.4503893554210663, 0.41642656922340393, 0.3799133002758026, 0.350993812084198, 0.33510252833366394, 0.3282005190849304, 0.32526785135269165, 0.32456210255622864, 0.32342594861984253, 0.3224807679653168, 0.32033973932266235, 0.32105499505996704, 0.3206876218318939, 0.3197562098503113, 0.3201788663864136, 0.3232254683971405, 0.3184071183204651, 0.31963202357292175, 0.32090872526168823, 0.3191111385822296]","[0.44694697856903076, 0.38946622610092163, 0.35132333636283875, 0.33156618475914, 0.32357585430145264, 0.3222714960575104, 0.3209611773490906, 0.32090529799461365, 0.3218156695365906, 0.32154223322868347, 0.32215616106987, 0.3224661946296692, 0.32289019227027893, 0.3235240876674652, 0.3228470981121063, 0.32267796993255615, 0.3231508731842041, 0.32352954149246216, 0.3235400319099426, 0.3233335018157959]"
25/08/2021 03:19:06,7,25/08/2021 03:35:53,25/08/2021 03:38:24,5,"[0.4988095164299011, 0.49884921312332153, 0.49869048595428467, 0.49861112236976624, 0.5021825432777405, 0.5040476322174072, 0.5042856931686401, 0.5071031451225281, 0.5081349015235901, 0.5081745982170105, 0.5111904740333557, 0.511468231678009, 0.5112301707267761, 0.511388897895813, 0.5163888931274414, 0.5161111354827881, 0.5174999833106995, 0.5166270136833191, 0.5174999833106995, 0.5141666531562805]","[0.5027777552604675, 0.5042592883110046, 0.5016666650772095, 0.5069444179534912, 0.5070370435714722, 0.5127778053283691, 0.5132407546043396, 0.5162962675094604, 0.5153703689575195, 0.5161111354827881, 0.5171296000480652, 0.5178703665733337, 0.5181481242179871, 0.5174999833106995, 0.5171296000480652, 0.5181481242179871, 0.519444465637207, 0.5184259414672852, 0.5212036967277527, 0.5228703618049622]","[0.45112669467926025, 0.41336745023727417, 0.3747170567512512, 0.34911996126174927, 0.3347131609916687, 0.3273472785949707, 0.3247142732143402, 0.3231302797794342, 0.32204777002334595, 0.3228159248828888, 0.3209269642829895, 0.32159414887428284, 0.3208254873752594, 0.3226926624774933, 0.3198670744895935, 0.31840381026268005, 0.3182584345340729, 0.3210192024707794, 0.31809619069099426, 0.32077521085739136]","[0.4312129318714142, 0.38077089190483093, 0.34609705209732056, 0.3286219537258148, 0.32178452610969543, 0.3208244740962982, 0.3208896219730377, 0.32108384370803833, 0.32248350977897644, 0.3229998052120209, 0.3231789469718933, 0.3237532079219818, 0.323192834854126, 0.32278507947921753, 0.32219845056533813, 0.3220478892326355, 0.32202911376953125, 0.32174408435821533, 0.32162272930145264, 0.3210195004940033]"
25/08/2021 03:19:06,8,25/08/2021 03:38:25,25/08/2021 03:41:00,5,"[0.4988095164299011, 0.4987698495388031, 0.4990079402923584, 0.4997619092464447, 0.5015873312950134, 0.5041269659996033, 0.5037301778793335, 0.5050793886184692, 0.5048015713691711, 0.5035317540168762, 0.508293628692627, 0.5023809671401978, 0.5064682364463806, 0.5057142972946167, 0.5099602937698364, 0.5090079307556152, 0.5097619295120239, 0.5116269588470459, 0.512420654296875, 0.5069047808647156]","[0.5027777552604675, 0.5038889050483704, 0.505648136138916, 0.504537045955658, 0.5073148012161255, 0.5095370411872864, 0.5109259486198425, 0.5140740871429443, 0.5137037038803101, 0.5155555605888367, 0.5139814615249634, 0.51583331823349, 0.5236111283302307, 0.5230555534362793, 0.5246296525001526, 0.5292592644691467, 0.5287963151931763, 0.5321296453475952, 0.5324074029922485, 0.5323148369789124]","[0.45014050602912903, 0.4093727469444275, 0.3707602322101593, 0.3476096987724304, 0.3345468044281006, 0.32924342155456543, 0.3259444236755371, 0.3238806426525116, 0.32416197657585144, 0.32515156269073486, 0.32447510957717896, 0.3250589668750763, 0.3220943510532379, 0.322030246257782, 0.32229533791542053, 0.3213118612766266, 0.322366863489151, 0.31980857253074646, 0.3209134638309479, 0.3203009366989136]","[0.42125117778778076, 0.3715633451938629, 0.34898558259010315, 0.3335895538330078, 0.32490578293800354, 0.3204710781574249, 0.3173031806945801, 0.317046195268631, 0.31607452034950256, 0.3157656788825989, 0.3169220983982086, 0.3165475130081177, 0.3150126338005066, 0.3156448304653168, 0.3154277205467224, 0.3157561421394348, 0.3159707188606262, 0.315766304731369, 0.3158406913280487, 0.3159637749195099]"
25/08/2021 03:19:06,9,25/08/2021 03:41:00,25/08/2021 03:43:50,5,"[0.4988095164299011, 0.49884921312332153, 0.49793651700019836, 0.5003174543380737, 0.505476176738739, 0.5060317516326904, 0.5068650841712952, 0.511904776096344, 0.5169841051101685, 0.5177381038665771, 0.5176190733909607, 0.5169444680213928, 0.5197619199752808, 0.5239285826683044, 0.5178571343421936, 0.5197222232818604, 0.5205158591270447, 0.515753984451294, 0.5216666460037231, 0.5221825242042542]","[0.5027777552604675, 0.5032407641410828, 0.5024999976158142, 0.5074074268341064, 0.5053703784942627, 0.5106481313705444, 0.5133333206176758, 0.5179629921913147, 0.5187963247299194, 0.5187963247299194, 0.5208333134651184, 0.521481454372406, 0.522685170173645, 0.5289815068244934, 0.5291666388511658, 0.5319444537162781, 0.5327777862548828, 0.5334259271621704, 0.535277783870697, 0.5344444513320923]","[0.44502148032188416, 0.40481454133987427, 0.36643001437187195, 0.34436047077178955, 0.3323250710964203, 0.32659393548965454, 0.3238812983036041, 0.320159375667572, 0.31854167580604553, 0.3203098177909851, 0.31884825229644775, 0.31927216053009033, 0.31861910223960876, 0.3169606626033783, 0.31847161054611206, 0.3202250003814697, 0.3164139688014984, 0.31872960925102234, 0.3169984519481659, 0.31716153025627136]","[0.4252263307571411, 0.37453487515449524, 0.3486032485961914, 0.33269771933555603, 0.3245207667350769, 0.3227771818637848, 0.32206636667251587, 0.32124218344688416, 0.3210984170436859, 0.32109177112579346, 0.3214033544063568, 0.32118093967437744, 0.3208862245082855, 0.3202718198299408, 0.31962448358535767, 0.31906405091285706, 0.318954735994339, 0.31756603717803955, 0.3166513741016388, 0.3171084225177765]"
25/08/2021 03:19:06,10,25/08/2021 03:43:51,25/08/2021 03:46:23,5,"[0.4988095164299011, 0.4988095164299011, 0.49869048595428467, 0.5006349086761475, 0.504444420337677, 0.5097222328186035, 0.5114285945892334, 0.5143253803253174, 0.5164285898208618, 0.5171825289726257, 0.5171825289726257, 0.5173412561416626, 0.5203174352645874, 0.5230952501296997, 0.525436520576477, 0.5227380990982056, 0.5246428847312927, 0.5221825242042542, 0.522341251373291, 0.5211904644966125]","[0.5027777552604675, 0.5034258961677551, 0.5021296143531799, 0.5111111402511597, 0.5185185074806213, 0.5213888883590698, 0.5230555534362793, 0.5225926041603088, 0.5245370268821716, 0.5246296525001526, 0.5263888835906982, 0.5262036919593811, 0.5271296501159668, 0.5268518328666687, 0.5290740728378296, 0.5300925970077515, 0.5306481719017029, 0.5287963151931763, 0.5298148393630981, 0.5319444537162781]","[0.4472588002681732, 0.41071367263793945, 0.36968520283699036, 0.3458496928215027, 0.33052629232406616, 0.3224429786205292, 0.32091769576072693, 0.3181973695755005, 0.3185564875602722, 0.31947553157806396, 0.31801772117614746, 0.31772109866142273, 0.3160170018672943, 0.3175135552883148, 0.3175364136695862, 0.3171178698539734, 0.3155212104320526, 0.3187231123447418, 0.31723904609680176, 0.3184157907962799]","[0.4305820167064667, 0.3778507113456726, 0.3428530991077423, 0.32670077681541443, 0.3222348392009735, 0.3214639723300934, 0.32318025827407837, 0.323537141084671, 0.32436296343803406, 0.32406386733055115, 0.32406362891197205, 0.32453763484954834, 0.32455793023109436, 0.32436689734458923, 0.3240312933921814, 0.3240443766117096, 0.3235694169998169, 0.324023574590683, 0.32332733273506165, 0.3229076564311981]"
