length,sentence
150,and think of henri who had said at first it wa a lie and then when he knew it wa not a lie had still said i do nt believ it who had found even in that i do nt believ it enough of strength to repudi home and blood in order to champion hi defianc and in which champion he prove hi content to be the fals one and wa more than ever interdict against return home jesu think of the load he had to carri born of two methodist or of one long invinc line of methodist and rais in provinci north mississippi face with incest incest of all thing that might have been reserv for him that all hi hered and train had to rebel against on principl and in a situat where he knew that neither incest nor train wa go to help him solv it
150,he say noth he mere stare at hi two of them in leaffad graff a singl candl a crude tent wall them away from a dark where alert picket face one anoth and where weari men sleep without shelter wait for dawn and the fire the weari backward walk to commenc again yet in a second tent candl gray and all are gone and it is the hollydeck christma librari at sutpen s hundr four year ago and the tabl not a camp tabl suitabl for the spread of map but the heavi carv rosewood one at home with the group photograph of hi mother and sister and himself sit upon it hi father behind the tabl and behind hi father the window abov the garden where judith and bon stroll in that slow rhythm where the heart match the footstep and the eye need onli look at one anoth
150,perhap the onli reason he had refrain from call her so far wa becaus he felt it improp to interfer in a famili alreadi so strongli oppos to convers or perhap he believ it improp to meddl in a privat matter befor hi assist had been ask for or perhap he had sens all along that luci onli half believ the thing he told her and so would be immun to anyth further he might have to say or perhap he had never realli been that interest in her to begin with thought of her as just anoth kid and if she came to him would onli resum stuf her full of catech so as final to stuff her into the confession where like stupid kitti egan she could ask forgiv for sin that were not realli her own and say prayer for peopl that did them absolut no good
149,they enlist togeth you see henri watch bon and bon permit himself to be watch the probat the duranc the one who dare not let the other out of hi sight not from fear that bon would marri judith with henri not there to stop it but that bon would marri judith and then he henri would have to live for the rest of hi life with the knowledg that he wa glad that he had been so betray with the coward s joy of surrend without have been vanquish the other for that same reason too who could not have want judith without henri sinc he must never have doubt but what he could marri judith when he wish in spite of brother and father both becaus as i said befor it wa not judith who wa the object of bon s love or of henri s solicitud
149,it wa the summer after that first christma that henri brought him home the summer follow the two day of that june vacat which he spent at sutpen s hundr befor he rode on to the river to take the steamboat home that summer after my aunt left and papa had to go away on busi and i wa sent out to ellen possibl my father chose ellen as a refug for me becaus at that time thoma sutpen wa also absent to stay so that she could take care of me who had been born too late born into some curiou disjoint of my father s life and left on hi now twice widow hand i compet enough to reach a kitchen shelf count spoon and hem a sheet and measur milk into a churn yet good for noth els yet still too valuabl to be left alon
149,it would be no secret between them now it would just be unsaid the lawyer behind the desk and mayb in the secret drawer the ledger where he had just finish ad in the last past year s interest compound between the intrins and the love and pride at two hundr percent lawyer fret annoy but not at all concern sinc he not onli knew he had the screw but he still did not realli believ that bon wa that kind of a fool though he wa about to alter hi opinion somewhat about the dull or at least the backward the lawyer watch him and say smooth and oili sinc it would be no secret now who would know now that bon knew all he would ever know or would need to know to make the coup do you know that you are a veri fortun young man
148,but there it wa he wa orphan onc more by the veri situat to which and by which he wa two of them offic and man now but still watcher and watch wait for someth but not know what what act of fate destini what irrevoc sentenc of what judg or arbit between them sinc noth less would do noth halfway or revers would seem to offic the lieuten who possess the slight and author advantag of be abl to say you go there of at least sometim remain behind the platoon which he direct the privat who carri that offic shot through the shoulder on hi back while the regiment fell back under the yanke gun at pittsburgh land carri him to safeti appar for the sole purpos of watch him for two year more write judith meanwhil that they were both aliv and that wa all
148,he did not paus did not take that day or two to let the bone and flesh of fiftynin day or two in which he might have talk not about us and what we had been do but about himself the past four year for all he ever told us there might not have been ani war at all or it on anoth planet and no stake of hi risk on it no flesh and blood of hi to suffer by it that natur period dure which bitter though unmaim defeat might have exhaust itself to someth like peac like quiet in the rage and incredul recount which enabl man to bear with live of that feather s balanc between victori and disast which make that defeat unbear which turn against him yet declin to slay him who still aliv yet can not bear to live with it
148,if he wa mad it wa onli hi compel dream which wa insan and not hi method it wa no madman who bargain and cajol hard manual labor out of men like jone it wa no madman who kept clear of the sheet and hood and nightgallop hors with which men who were onc hi acquaint even if not hi friend discharg the canker suppur of defeat it wa no madman s plan or tactic which gain him at the lowest possibl price the sole woman avail to wive him and by the one devic which could have gain hi madman no sinc sure there is someth in mad even the demoniac which satan flee aghast at hi own handiwork and which god look on in spark some crumb to leaven and redeem that articul flesh that speech sight hear tast and be which we call human man
148,and then the cot wa move in the attic and the few garment hang behind a curtain contriv of a piec of old carpet nail across a corner the rag of the silk and broadcloth in which he had arriv the harsh jean and homespun which the two women bought and made for him he accept them with no thank no comment accept hi garret room in the same way ask for and make no alter in it spartan arrang that they knew of until that second year when he wa fourteen and one of them clyti or judith found hidden beneath hi mattress the shard of broken mirror and who to know what hour of amaz and tearless grief he might have spent befor it examin himself in the delic and outgrown tatter in which he perhap could not even rememb himself with quiet and incredul incomprehens
