date,round,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
22/08/2021 14:37:13,1,23/08/2021 04:19:13,23/08/2021 04:23:25,9,"[0.4988095164299011, 0.4988095164299011, 0.498968243598938, 0.5124602913856506, 0.5337698459625244, 0.542539656162262, 0.5498015880584717, 0.5514285564422607, 0.5522618889808655, 0.5535714030265808, 0.5512698292732239, 0.5517063736915588, 0.5563889145851135, 0.5530555844306946, 0.5547618865966797, 0.5553968548774719, 0.5553968548774719, 0.5595238208770752, 0.5568650960922241, 0.5561507940292358]","[0.5027777552604675, 0.5027777552604675, 0.504537045955658, 0.5529629588127136, 0.5623148083686829, 0.5654629468917847, 0.5666666626930237, 0.5671296119689941, 0.5685185194015503, 0.5679629445075989, 0.5691666603088379, 0.5689814686775208, 0.5710185170173645, 0.5712037086486816, 0.5712037086486816, 0.5716666579246521, 0.5719444155693054, 0.5716666579246521, 0.5711110830307007, 0.5728703737258911]","[0.4526350796222687, 0.416352778673172, 0.3742486536502838, 0.3322470486164093, 0.3138824999332428, 0.31089797616004944, 0.3100293278694153, 0.3088330924510956, 0.30863794684410095, 0.3080393373966217, 0.30817532539367676, 0.30834174156188965, 0.30714932084083557, 0.3087630271911621, 0.30811408162117004, 0.30700284242630005, 0.3074338436126709, 0.30495962500572205, 0.30666548013687134, 0.30650317668914795]","[0.45320117473602295, 0.4099695682525635, 0.3376536965370178, 0.3101275563240051, 0.31140923500061035, 0.3127474784851074, 0.31299513578414917, 0.31308990716934204, 0.3124096095561981, 0.3116513192653656, 0.31170564889907837, 0.3113814890384674, 0.31139394640922546, 0.3105981945991516, 0.310690701007843, 0.3105521500110626, 0.310954213142395, 0.3107912838459015, 0.3104427456855774, 0.3096393644809723]"
22/08/2021 14:37:13,2,23/08/2021 04:23:25,23/08/2021 04:27:52,9,"[0.4988095164299011, 0.4988095164299011, 0.49960318207740784, 0.5075793862342834, 0.5232142806053162, 0.5299999713897705, 0.5362698435783386, 0.5424603223800659, 0.5436111092567444, 0.5469047427177429, 0.5451587438583374, 0.5475793480873108, 0.5465079545974731, 0.5517460107803345, 0.5478571653366089, 0.5519047379493713, 0.5498412847518921, 0.5493651032447815, 0.5529364943504333, 0.5543650984764099]","[0.5027777552604675, 0.5027777552604675, 0.5098147988319397, 0.5431481599807739, 0.554722249507904, 0.5622222423553467, 0.5650925636291504, 0.5664814710617065, 0.567037045955658, 0.5665740966796875, 0.5679629445075989, 0.5674074292182922, 0.5678703784942627, 0.5674074292182922, 0.5680555701255798, 0.569351851940155, 0.5703703761100769, 0.5691666603088379, 0.5684259533882141, 0.5701851844787598]","[0.4455653727054596, 0.40593913197517395, 0.3679102659225464, 0.33565467596054077, 0.3169783651828766, 0.31285613775253296, 0.31269073486328125, 0.3124537169933319, 0.30919939279556274, 0.30952051281929016, 0.30987781286239624, 0.31026706099510193, 0.3088209331035614, 0.3063516914844513, 0.30788469314575195, 0.3078041970729828, 0.3064999282360077, 0.30791932344436646, 0.30818167328834534, 0.3056815564632416]","[0.43839356303215027, 0.3895860016345978, 0.3410375416278839, 0.31073904037475586, 0.3082348108291626, 0.31026631593704224, 0.31157156825065613, 0.3113730251789093, 0.3116486668586731, 0.3114980161190033, 0.3113758862018585, 0.3112676441669464, 0.3106541931629181, 0.3104010820388794, 0.31031596660614014, 0.3102191388607025, 0.3101957440376282, 0.30955296754837036, 0.30899620056152344, 0.30970823764801025]"
22/08/2021 14:37:13,3,23/08/2021 04:27:52,23/08/2021 04:32:04,9,"[0.4988095164299011, 0.4988095164299011, 0.4987698495388031, 0.5037698149681091, 0.512420654296875, 0.5238491892814636, 0.5312698483467102, 0.5396031737327576, 0.5407936573028564, 0.5433729887008667, 0.5442063212394714, 0.5508333444595337, 0.5491269826889038, 0.5501587390899658, 0.5536110997200012, 0.5557936429977417, 0.5562301874160767, 0.5530555844306946, 0.5517857074737549, 0.5599603056907654]","[0.5027777552604675, 0.5027777552604675, 0.5060185194015503, 0.5319444537162781, 0.5543518662452698, 0.5626851916313171, 0.5667592883110046, 0.5687962770462036, 0.5687037110328674, 0.5688889026641846, 0.5703703761100769, 0.5697222352027893, 0.5698148012161255, 0.5699999928474426, 0.5694444179534912, 0.5688889026641846, 0.5686110854148865, 0.5703703761100769, 0.5711110830307007, 0.5722222328186035]","[0.4465329647064209, 0.4091486930847168, 0.37041541934013367, 0.3445177972316742, 0.3235126733779907, 0.31732943654060364, 0.31588214635849, 0.3138726055622101, 0.31212639808654785, 0.31181031465530396, 0.3120177686214447, 0.3091340959072113, 0.30752402544021606, 0.30853596329689026, 0.30804872512817383, 0.30889588594436646, 0.30868086218833923, 0.3067340850830078, 0.30787205696105957, 0.30715247988700867]","[0.4459689259529114, 0.39587751030921936, 0.34526291489601135, 0.31688207387924194, 0.3072585165500641, 0.30653923749923706, 0.3075154721736908, 0.30905812978744507, 0.3092261850833893, 0.309952974319458, 0.310967355966568, 0.3103357255458832, 0.31050992012023926, 0.31036069989204407, 0.3113309144973755, 0.310899555683136, 0.3108055889606476, 0.3107506036758423, 0.31051144003868103, 0.3103685677051544]"
22/08/2021 14:37:13,4,23/08/2021 04:32:04,23/08/2021 04:36:16,9,"[0.4988095164299011, 0.4988095164299011, 0.49861112236976624, 0.5047619342803955, 0.5249603390693665, 0.539642870426178, 0.5460714101791382, 0.5501984357833862, 0.5511507987976074, 0.5488095283508301, 0.552142858505249, 0.5507143139839172, 0.5546031594276428, 0.5528967976570129, 0.5569841265678406, 0.5594047904014587, 0.5557936429977417, 0.5580952167510986, 0.5595238208770752, 0.5600000023841858]","[0.5027777552604675, 0.5027777552604675, 0.5025925636291504, 0.5445370078086853, 0.5645370483398438, 0.5699999928474426, 0.570277750492096, 0.5690740942955017, 0.5710185170173645, 0.5674999952316284, 0.5706481337547302, 0.5713889002799988, 0.5721296072006226, 0.5729629397392273, 0.5751851797103882, 0.5752778053283691, 0.5756481289863586, 0.5757407546043396, 0.5753703713417053, 0.5751851797103882]","[0.4532086253166199, 0.41833236813545227, 0.38105860352516174, 0.3404398262500763, 0.3171992301940918, 0.3110763430595398, 0.3117141127586365, 0.31064173579216003, 0.30925267934799194, 0.31092220544815063, 0.30808109045028687, 0.30783820152282715, 0.3079645335674286, 0.30679142475128174, 0.30725184082984924, 0.30663812160491943, 0.30703750252723694, 0.30582132935523987, 0.30598393082618713, 0.30282407999038696]","[0.45266494154930115, 0.4122360646724701, 0.3566898703575134, 0.31219178438186646, 0.3122733235359192, 0.3137323558330536, 0.31427913904190063, 0.31413429975509644, 0.31425535678863525, 0.31349581480026245, 0.31361377239227295, 0.3136095106601715, 0.3129432201385498, 0.3123317360877991, 0.31273576617240906, 0.31208303570747375, 0.3122689127922058, 0.31101009249687195, 0.3101167678833008, 0.30994561314582825]"
22/08/2021 14:37:13,5,23/08/2021 04:36:17,23/08/2021 04:40:29,9,"[0.4988095164299011, 0.4987698495388031, 0.49884921312332153, 0.5007143020629883, 0.5040476322174072, 0.5100793838500977, 0.5174999833106995, 0.5306349396705627, 0.5328174829483032, 0.5326587557792664, 0.5355158448219299, 0.5331745743751526, 0.5402777791023254, 0.5410714149475098, 0.5384523868560791, 0.5442460179328918, 0.5434126853942871, 0.5464682579040527, 0.544603168964386, 0.5447618961334229]","[0.5027777552604675, 0.5027777552604675, 0.503333330154419, 0.5175926089286804, 0.5378703474998474, 0.5530555844306946, 0.5586110949516296, 0.5586110949516296, 0.5578703880310059, 0.5612037181854248, 0.5623148083686829, 0.5653703808784485, 0.565833330154419, 0.5643518567085266, 0.5636110901832581, 0.5655555725097656, 0.5650925636291504, 0.5666666626930237, 0.5686110854148865, 0.566944420337677]","[0.44784292578697205, 0.4109407663345337, 0.375245064496994, 0.34827935695648193, 0.33119362592697144, 0.32208624482154846, 0.3194456398487091, 0.314256489276886, 0.3153335154056549, 0.3143092691898346, 0.3131577670574188, 0.3128582835197449, 0.3122895061969757, 0.3132847845554352, 0.3116472661495209, 0.30924421548843384, 0.3111851215362549, 0.30991125106811523, 0.309797465801239, 0.3097561001777649]","[0.4517804980278015, 0.40878236293792725, 0.36011701822280884, 0.32541024684906006, 0.30926913022994995, 0.30789223313331604, 0.30939000844955444, 0.31023678183555603, 0.30995306372642517, 0.3101802468299866, 0.310046911239624, 0.310030460357666, 0.30956128239631653, 0.3095702528953552, 0.3086622655391693, 0.30875444412231445, 0.30861836671829224, 0.3084424138069153, 0.3085702657699585, 0.3083125054836273]"
22/08/2021 14:37:13,6,23/08/2021 04:40:29,23/08/2021 04:44:57,9,"[0.4988095164299011, 0.4988095164299011, 0.4995238184928894, 0.5072222352027893, 0.5268253684043884, 0.5427380800247192, 0.5480158925056458, 0.545714259147644, 0.5517063736915588, 0.5509920716285706, 0.5523015856742859, 0.5544841289520264, 0.5570635199546814, 0.5535317659378052, 0.5569047331809998, 0.5570635199546814, 0.5594841241836548, 0.5588492155075073, 0.5594841241836548, 0.5637698173522949]","[0.5027777552604675, 0.5027777552604675, 0.5050926208496094, 0.545462965965271, 0.5628703832626343, 0.5687037110328674, 0.5712037086486816, 0.5699074268341064, 0.5700926184654236, 0.5732407569885254, 0.5720370411872864, 0.5725926160812378, 0.5746296048164368, 0.5751851797103882, 0.5735185146331787, 0.5765740871429443, 0.5757407546043396, 0.5737037062644958, 0.5763888955116272, 0.5744444727897644]","[0.45149511098861694, 0.4143936336040497, 0.37678277492523193, 0.3389095067977905, 0.31693151593208313, 0.31212079524993896, 0.3100607991218567, 0.31005844473838806, 0.30790337920188904, 0.3098277151584625, 0.30690068006515503, 0.3074762225151062, 0.30706867575645447, 0.308226615190506, 0.30666863918304443, 0.3064884543418884, 0.3053123950958252, 0.30660346150398254, 0.30530136823654175, 0.30374106764793396]","[0.4495137631893158, 0.40116703510284424, 0.35007840394973755, 0.31325605511665344, 0.30994677543640137, 0.31115052103996277, 0.31270357966423035, 0.3119688928127289, 0.3121831715106964, 0.3122469484806061, 0.3114011883735657, 0.3112732172012329, 0.31209883093833923, 0.3111977279186249, 0.31081849336624146, 0.31106674671173096, 0.3101133704185486, 0.30957722663879395, 0.3097999393939972, 0.30890771746635437]"
22/08/2021 14:37:13,7,23/08/2021 04:44:57,23/08/2021 04:49:13,9,"[0.4988095164299011, 0.4988095164299011, 0.5042856931686401, 0.5382539629936218, 0.5488095283508301, 0.5525397062301636, 0.5534523725509644, 0.5544047355651855, 0.553412675857544, 0.5553174614906311, 0.5590476393699646, 0.5571825504302979, 0.5553571581840515, 0.5588095188140869, 0.557103157043457, 0.5609920620918274, 0.5587698221206665, 0.5588889122009277, 0.5573412775993347, 0.5584523677825928]","[0.5027777552604675, 0.5027777552604675, 0.5564814805984497, 0.5639814734458923, 0.5675926208496094, 0.5665740966796875, 0.566944420337677, 0.5674999952316284, 0.5667592883110046, 0.5688889026641846, 0.5677777528762817, 0.5687037110328674, 0.5699074268341064, 0.5697222352027893, 0.5699999928474426, 0.5698148012161255, 0.570555567741394, 0.5709259510040283, 0.570555567741394, 0.5710185170173645]","[0.4502983093261719, 0.40725821256637573, 0.3421439826488495, 0.3122853934764862, 0.308316171169281, 0.30794647336006165, 0.308397114276886, 0.30855435132980347, 0.30793294310569763, 0.30979952216148376, 0.3056580126285553, 0.30565452575683594, 0.3075665235519409, 0.3056875765323639, 0.30602264404296875, 0.30314120650291443, 0.3060539960861206, 0.3044758439064026, 0.3066388666629791, 0.30393552780151367]","[0.4496450126171112, 0.36973506212234497, 0.3114160895347595, 0.3129992187023163, 0.31519702076911926, 0.3145572543144226, 0.31456947326660156, 0.3138587176799774, 0.3131978213787079, 0.31356364488601685, 0.31241804361343384, 0.31246551871299744, 0.31311795115470886, 0.31241047382354736, 0.311891108751297, 0.311362087726593, 0.31119197607040405, 0.31090497970581055, 0.3105200231075287, 0.3103049397468567]"
22/08/2021 14:37:13,8,23/08/2021 04:49:13,23/08/2021 04:53:28,9,"[0.4988095164299011, 0.4988095164299011, 0.500595211982727, 0.5189682245254517, 0.5400793552398682, 0.5483333468437195, 0.5461111068725586, 0.5502777695655823, 0.5513095259666443, 0.5497618913650513, 0.5563492178916931, 0.5514285564422607, 0.5545238256454468, 0.5550000071525574, 0.552142858505249, 0.5573015809059143, 0.5576984286308289, 0.5583730340003967, 0.5584126710891724, 0.5538095235824585]","[0.5027777552604675, 0.5027777552604675, 0.526018500328064, 0.5623148083686829, 0.5638889074325562, 0.5649999976158142, 0.5665740966796875, 0.567037045955658, 0.5660185217857361, 0.5673148036003113, 0.5675926208496094, 0.5690740942955017, 0.5687037110328674, 0.5689814686775208, 0.5689814686775208, 0.5698148012161255, 0.5685185194015503, 0.5701851844787598, 0.5699999928474426, 0.5684259533882141]","[0.4478607773780823, 0.40822574496269226, 0.3620340824127197, 0.3232521712779999, 0.3114204704761505, 0.30961570143699646, 0.31028997898101807, 0.3079124987125397, 0.3082026541233063, 0.30782076716423035, 0.3061864972114563, 0.3073030710220337, 0.3078676164150238, 0.30604925751686096, 0.306719034910202, 0.30352094769477844, 0.30493980646133423, 0.3050708472728729, 0.3048960268497467, 0.306761771440506]","[0.4464491605758667, 0.3901161551475525, 0.3202078640460968, 0.3082289397716522, 0.3110993206501007, 0.3115538954734802, 0.31218722462654114, 0.31189361214637756, 0.3119346797466278, 0.3112157881259918, 0.31136593222618103, 0.3104243278503418, 0.31060776114463806, 0.3103947043418884, 0.30991408228874207, 0.31014662981033325, 0.309362530708313, 0.30848604440689087, 0.30844762921333313, 0.307681143283844]"
22/08/2021 14:37:13,9,23/08/2021 04:53:28,23/08/2021 04:57:51,9,"[0.4988095164299011, 0.4988095164299011, 0.49884921312332153, 0.499484121799469, 0.5019047856330872, 0.5002777576446533, 0.5074602961540222, 0.5125396847724915, 0.5144444704055786, 0.5209127068519592, 0.5208333134651184, 0.5254762172698975, 0.5271825194358826, 0.5323412418365479, 0.538611114025116, 0.5384126901626587, 0.5454365015029907, 0.5434126853942871, 0.5482539534568787, 0.5480555295944214]","[0.5027777552604675, 0.5027777552604675, 0.503333330154419, 0.5137037038803101, 0.5249074101448059, 0.5276851654052734, 0.5325925946235657, 0.5384259223937988, 0.5406481623649597, 0.5448148250579834, 0.5501852035522461, 0.5542592406272888, 0.5550925731658936, 0.5574073791503906, 0.5608333349227905, 0.565833330154419, 0.5709259510040283, 0.5713889002799988, 0.5717592835426331, 0.5747222304344177]","[0.4527648389339447, 0.41583648324012756, 0.37848684191703796, 0.3498874306678772, 0.3350905776023865, 0.3278577923774719, 0.32606157660484314, 0.3211129307746887, 0.32088974118232727, 0.3179967403411865, 0.317837655544281, 0.3163668215274811, 0.31566372513771057, 0.3160947263240814, 0.3126700818538666, 0.3137674331665039, 0.31129661202430725, 0.3100472688674927, 0.30987218022346497, 0.3092680871486664]","[0.44775909185409546, 0.4004489779472351, 0.3554733693599701, 0.3292083740234375, 0.317434161901474, 0.3132791817188263, 0.31415823101997375, 0.31394556164741516, 0.31328442692756653, 0.31338831782341003, 0.3136501610279083, 0.3131366968154907, 0.31259503960609436, 0.31282076239585876, 0.3125300407409668, 0.31167834997177124, 0.3106098175048828, 0.30987703800201416, 0.3094550371170044, 0.3097342848777771]"
22/08/2021 14:37:13,10,23/08/2021 04:57:51,23/08/2021 05:02:14,9,"[0.4988095164299011, 0.4988095164299011, 0.49964284896850586, 0.5103174448013306, 0.5305952429771423, 0.5375000238418579, 0.5394444465637207, 0.5479364991188049, 0.5460317730903625, 0.5478968024253845, 0.5449206233024597, 0.549047589302063, 0.5451587438583374, 0.5489682555198669, 0.5518254041671753, 0.5526190400123596, 0.5534920692443848, 0.5520634651184082, 0.5555952191352844, 0.5524206161499023]","[0.5027777552604675, 0.5027777552604675, 0.5095370411872864, 0.5461111068725586, 0.5577777624130249, 0.5615741014480591, 0.5626851916313171, 0.563703715801239, 0.5635185241699219, 0.5645370483398438, 0.566944420337677, 0.5672222375869751, 0.5689814686775208, 0.5699074268341064, 0.5701851844787598, 0.5712962746620178, 0.5713889002799988, 0.5704629421234131, 0.571481466293335, 0.5732407569885254]","[0.44899076223373413, 0.409884512424469, 0.3672489523887634, 0.3307587206363678, 0.3149242103099823, 0.3131549060344696, 0.30943989753723145, 0.3095000684261322, 0.31048211455345154, 0.3095157742500305, 0.30965298414230347, 0.3092469871044159, 0.30908915400505066, 0.30831286311149597, 0.3083650767803192, 0.3076261281967163, 0.30695560574531555, 0.3063148856163025, 0.30554506182670593, 0.30708056688308716]","[0.446350634098053, 0.3934357464313507, 0.3321661055088043, 0.30758821964263916, 0.3075411319732666, 0.3089607059955597, 0.31013551354408264, 0.31015098094940186, 0.30959293246269226, 0.3087150454521179, 0.3088306188583374, 0.30883920192718506, 0.3086777329444885, 0.30911603569984436, 0.30791160464286804, 0.3087416887283325, 0.30873599648475647, 0.3087959885597229, 0.30860745906829834, 0.308912992477417]"
